Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
249;Danuel House Jr.;SF;28;TOT;36;5;16.2;1.8;4.4;0.409;1;2.5;0.385;0.8;1.9;0.441;0.519;1;1.3;0.778;0.4;2.2;2.6;1.1;0.4;0.4;0.7;1.1;5.6
249;Danuel House Jr.;SF;28;HOU;16;1;14.6;1.6;4.6;0.338;0.6;2.1;0.294;0.9;2.5;0.375;0.405;1.1;1.2;0.895;0.3;2.4;2.7;1.2;0.3;0.3;1.1;1;4.8
249;Danuel House Jr.;SF;28;NYK;1;0;3;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
249;Danuel House Jr.;SF;28;UTA;19;4;18.2;2.1;4.4;0.476;1.3;2.9;0.446;0.8;1.5;0.536;0.625;0.9;1.4;0.692;0.6;2.1;2.6;1.2;0.5;0.4;0.4;1.3;6.5
250;Dwight Howard;C;36;LAL;49;16;14.8;1.9;3.1;0.601;0.1;0.2;0.667;1.8;2.9;0.597;0.621;1.3;2;0.636;2;3.6;5.6;0.6;0.6;0.6;0.8;2;5.2
251;Markus Howard;SG;22;DEN;28;0;5.1;1;2.8;0.367;0.9;2;0.421;0.2;0.8;0.227;0.519;0.5;0.5;0.867;0;0.3;0.3;0.2;0.3;0;0.2;0.4;3.4
252;Kevin Huerter;SG;23;ATL;61;47;29.5;4.6;10.2;0.456;2;5.4;0.382;2.6;4.8;0.539;0.557;0.5;0.6;0.795;0.5;2.9;3.3;2.7;0.7;0.4;1.2;2.4;11.8
253;Jay Huff;C;23;LAL;4;0;5;0;0.8;0;0;0.5;0;0;0.3;0;0;0;0;0;0.3;0.8;1;0.3;0.3;0.3;0.3;0.3;0
254;Elijah Hughes;SF-SG;23;TOT;25;3;10.3;1.1;3.4;0.318;0.7;2.4;0.279;0.4;1;0.417;0.418;0.2;0.2;0.8;0.2;1.4;1.6;0.5;0.3;0.2;0.5;1;3
254;Elijah Hughes;SF;23;UTA;14;1;8;1.1;2.6;0.417;0.7;2;0.357;0.4;0.6;0.625;0.556;0.2;0.2;1;0.1;1.1;1.2;0.4;0.3;0.1;0.5;0.5;3.1
254;Elijah Hughes;SG;23;POR;11;2;13.3;1.1;4.5;0.245;0.6;3;0.212;0.5;1.5;0.313;0.316;0.1;0.2;0.5;0.3;1.7;2;0.5;0.4;0.3;0.5;1.5;2.9
255;De'Andre Hunter;SF;24;ATL;41;40;30;4.8;10.7;0.45;1.5;3.8;0.391;3.3;6.9;0.482;0.519;2.4;3.1;0.76;0.5;2.6;3.1;1.2;0.7;0.4;1.3;3;13.5
256;Chandler Hutchison;SF;25;PHO;6;0;3.7;0.2;0.3;0.5;0;0;0;0.2;0.3;0.5;0.5;0.3;0.3;1;0;0.8;0.8;0.3;0;0;0.7;0.2;0.7
257;Bones Hyland;PG;21;DEN;57;3;18.1;3.1;7.9;0.389;1.8;4.9;0.369;1.3;3.1;0.42;0.502;1.3;1.5;0.851;0.2;2.6;2.8;2.3;0.5;0.2;1.2;2.1;9.3
258;Serge Ibaka;C-PF;32;TOT;48;11;16.2;2.7;5.4;0.502;0.7;1.8;0.376;2.1;3.7;0.563;0.563;0.6;0.8;0.692;1.1;3.5;4.6;0.9;0.2;0.7;0.8;1.8;6.7
258;Serge Ibaka;C;32;LAC;35;10;15.4;2.7;5.5;0.49;0.7;1.8;0.387;2;3.7;0.538;0.552;0.6;0.8;0.69;1.1;3.1;4.3;1;0.2;0.7;0.9;1.6;6.6
258;Serge Ibaka;PF;32;MIL;13;1;18.5;2.8;5.3;0.536;0.6;1.8;0.348;2.2;3.5;0.63;0.594;0.5;0.8;0.7;1.2;4.3;5.5;0.4;0.2;0.5;0.5;2.2;6.8
259;Andre Iguodala;SF;38;GSW;26;0;19.9;1.5;3.9;0.392;0.5;2.3;0.23;1;1.6;0.634;0.461;0.5;0.6;0.813;0.7;2.6;3.3;3.8;0.8;0.8;0.9;1;4.1
260;Joe Ingles;SF;34;UTA;45;15;24.9;2.6;6.3;0.404;1.7;5;0.347;0.8;1.3;0.617;0.54;0.4;0.5;0.773;0.3;2.6;2.9;3.5;0.5;0.1;1;1.8;7.2
261;Brandon Ingram;SF;24;NOP;50;50;34.2;8.4;18.2;0.462;1.4;4.3;0.335;7;13.9;0.501;0.502;4.5;5.5;0.816;0.7;5;5.7;5.5;0.6;0.5;2.7;2.2;22.8
262;Kyrie Irving;PG;29;BRK;19;19;36.1;10.1;20.6;0.49;3.2;7.5;0.43;6.9;13.2;0.524;0.568;4.3;4.8;0.901;0.6;4.1;4.7;5.3;1.4;0.7;2.3;2.6;27.7
263;Wes Iwundu;SF;27;ATL;3;1;27.3;2.7;6;0.444;1;1.7;0.6;1.7;4.3;0.385;0.528;1;1.3;0.75;1;3.3;4.3;0;0.3;0;0.3;2.7;7.3
264;Frank Jackson;PG;23;DET;44;5;22.3;3.8;9.2;0.409;1.8;5.5;0.32;2;3.8;0.539;0.504;1.4;1.8;0.795;0.3;1.3;1.6;1;0.5;0.2;0.8;1.8;10.7
265;Isaiah Jackson;PF;20;IND;30;12;13.6;3;5.4;0.559;0.1;0.4;0.308;2.9;4.9;0.581;0.571;1.6;2.4;0.653;1.7;2.5;4.2;0.3;0.5;1.4;1;2.5;7.7
266;Jaren Jackson Jr.;PF;22;MEM;69;69;27.5;5.6;13.4;0.417;1.6;5.1;0.314;4;8.3;0.482;0.477;3.6;4.5;0.808;1.6;4.3;5.9;1;1;2.2;1.6;3.5;16.4
267;Josh Jackson;SF;24;TOT;44;3;16.4;2.4;5.9;0.403;0.7;2.7;0.256;1.7;3.2;0.525;0.461;1;1.3;0.724;0.4;2.5;2.8;1.1;0.5;0.4;0.9;1.7;6.4
267;Josh Jackson;SF;24;DET;39;3;18.1;2.6;6.4;0.41;0.8;2.9;0.265;1.9;3.5;0.529;0.47;1;1.4;0.714;0.4;2.7;3.2;1.3;0.5;0.5;1;1.8;7.1
267;Josh Jackson;SF;24;SAC;5;0;3;0.2;1.4;0.143;0;0.8;0;0.2;0.6;0.333;0.143;0.4;0.4;1;0;0.4;0.4;0.2;0.2;0.2;0.6;0.8;0.8
268;Justin Jackson;SF;26;TOT;7;0;5.3;0.7;2.1;0.333;0.4;1.3;0.333;0.3;0.9;0.333;0.433;0.3;0.3;1;0.1;0.9;1;0.3;0;0;0.1;0.4;2.1
268;Justin Jackson;SF;26;BOS;1;0;2;0;1;0;0;0;0;0;1;0;0;2;2;1;0;0;0;0;0;0;0;0;2
268;Justin Jackson;SF;26;PHO;6;0;5.8;0.8;2.3;0.357;0.5;1.5;0.333;0.3;0.8;0.4;0.464;0;0;0;0.2;1;1.2;0.3;0;0;0.2;0.5;2.2
269;Reggie Jackson;SG;31;LAC;67;67;31.3;6.5;16.4;0.396;2.3;7;0.335;4.1;9.4;0.441;0.467;1.9;2.2;0.832;0.6;3.2;3.7;4.9;0.7;0.2;2.3;2;17.1
270;LeBron James;SF;37;LAL;51;51;36.9;11.1;21.3;0.52;2.8;8;0.357;8.2;13.4;0.617;0.586;4.5;6;0.76;1.1;7;8.1;6.2;1.4;1.1;3.5;2.2;29.5
271;DeJon Jarreau;SG;24;IND;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
272;DaQuan Jeffries;SG;24;MEM;3;0;3;0.3;0.7;0.5;0;0.3;0;0.3;0.3;1;0.5;0;0;0;0;0.7;0.7;0.3;0;0;0;0.3;0.7
273;Ty Jerome;SG;24;OKC;48;4;16.7;2.6;6.8;0.378;1.1;3.9;0.29;1.5;3;0.493;0.46;0.8;1;0.809;0.4;1.2;1.6;2.3;0.6;0.1;0.8;1.5;7.1
274;Isaiah Joe;SG;22;PHI;48;1;11.6;1.1;3.3;0.35;0.8;2.5;0.331;0.3;0.8;0.417;0.478;0.5;0.5;0.923;0.1;0.9;1;0.7;0.3;0.1;0.3;0.9;3.6
275;Alize Johnson;PF;25;TOT;23;0;7.3;0.7;1.7;0.436;0;0.2;0;0.7;1.5;0.486;0.436;0.3;0.5;0.583;1.2;1.4;2.7;0.4;0.2;0;0.5;0.8;1.8
275;Alize Johnson;PF;25;CHI;16;0;7.6;0.8;1.4;0.522;0;0.1;0;0.8;1.3;0.571;0.522;0.3;0.4;0.571;1;1.3;2.3;0.5;0.2;0;0.5;0.9;1.8
275;Alize Johnson;PF;25;WAS;3;0;6;0.7;2;0.333;0;0.7;0;0.7;1.3;0.5;0.333;0;0.3;0;1.7;2.3;4;0;0;0;1;0;1.3
275;Alize Johnson;PF;25;NOP;4;0;7;0.8;2.5;0.3;0;0;0;0.8;2.5;0.3;0.3;0.8;1;0.75;1.8;1.5;3.3;0.3;0.5;0;0.3;0.8;2.3
276;B.J. Johnson;SF;26;ORL;4;0;16.3;2.8;6.3;0.44;1;2.5;0.4;1.8;3.8;0.467;0.52;0;0;0;1.5;2.3;3.8;0;0;0.3;0;1;6.5
277;Cameron Johnson;PF;25;PHO;60;13;26.3;4.4;9.2;0.475;2.7;5.9;0.448;1.7;3.2;0.526;0.62;1.5;1.7;0.873;0.6;3.5;4.1;1.5;0.8;0.2;0.6;1.7;12.8
278;David Johnson;SG;20;TOR;2;0;1;0;0.5;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
279;Jalen Johnson;PF;20;ATL;16;0;4.3;0.7;1.4;0.5;0.2;0.5;0.375;0.5;0.9;0.571;0.568;0.3;0.4;0.667;0;1.1;1.1;0.1;0;0.1;0.3;0.2;1.8
280;James Johnson;PF;34;BRK;54;10;19.7;2.6;5.4;0.474;0.4;1.5;0.28;2.1;3.9;0.55;0.514;0.5;1;0.528;0.9;2.6;3.5;2.2;0.5;0.5;0.8;2.6;6.1
281;Joe Johnson;SG;40;BOS;1;0;2;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;2
282;Keldon Johnson;SF;22;SAS;64;63;31.7;6.1;13.1;0.468;2;4.9;0.411;4.1;8.1;0.502;0.545;2.1;2.9;0.745;1.1;5;6.1;1.9;0.7;0.1;1.2;1.9;16.4
283;Keon Johnson;SG;19;TOT;24;2;14.1;1.8;5.3;0.333;0.5;1.5;0.351;1.2;3.7;0.326;0.385;1.1;1.4;0.794;0.5;1.4;1.9;1.3;0.5;0.2;0.7;1.5;5.2
283;Keon Johnson;SG;19;LAC;15;0;9;1.1;3.4;0.333;0.2;0.7;0.273;0.9;2.7;0.35;0.363;1.1;1.4;0.762;0.4;1;1.4;0.9;0.5;0.1;0.5;1.4;3.5
283;Keon Johnson;SG;19;POR;9;2;22.7;2.8;8.3;0.333;1.1;2.9;0.385;1.7;5.4;0.306;0.4;1.2;1.4;0.846;0.7;2.1;2.8;2.1;0.7;0.3;1;1.8;7.9
284;Stanley Johnson;PF;25;LAL;35;20;21.1;2.2;4.7;0.473;0.7;2;0.329;1.6;2.7;0.579;0.542;0.8;1.2;0.707;0.7;2.4;3;1.4;0.8;0.4;0.6;2.4;5.9
285;Tyler Johnson;PG;29;TOT;6;0;15.2;1;3.3;0.3;0.8;2.2;0.385;0.2;1.2;0.143;0.425;0;0;0;0.5;1.5;2;1.2;0.5;0.5;0.3;1.2;2.8
285;Tyler Johnson;PG;29;PHI;3;0;12.7;1.3;3.3;0.4;1;2.3;0.429;0.3;1;0.333;0.55;0;0;0;0.3;1.7;2;0.7;0.3;0.3;0.3;1.3;3.7
285;Tyler Johnson;PG;29;SAS;3;0;17.7;0.7;3.3;0.2;0.7;2;0.333;0;1.3;0;0.3;0;0;0;0.7;1.3;2;1.7;0.7;0.7;0.3;1;2
286;Nikola Joki?;C;26;DEN;63;63;33;9.9;17.2;0.574;1.5;4.1;0.354;8.4;13.1;0.643;0.616;4.8;6;0.808;2.7;11;13.8;8.1;1.4;0.8;3.7;2.6;26
287;Carlik Jones;PG;24;TOT;5;0;4.6;0.2;1.8;0.111;0;0.2;0;0.2;1.6;0.125;0.111;0.4;0.4;1;0.2;0.4;0.6;1;0.2;0;0.6;0;0.8
287;Carlik Jones;PG;24;DAL;3;0;6.3;0;2.3;0;0;0.3;0;0;2;0;0;0.7;0.7;1;0.3;0.7;1;1.7;0.3;0;1;0;0.7
287;Carlik Jones;PG;24;DEN;2;0;2;0.5;1;0.5;0;0;0;0.5;1;0.5;0.5;0;0;0;0;0;0;0;0;0;0;0;1
288;Damian Jones;C;26;SAC;45;6;15.9;2.5;3.9;0.631;0.1;0.4;0.278;2.4;3.5;0.671;0.645;1.3;1.8;0.72;1.3;2.6;3.9;1.1;0.4;0.7;1;2.2;6.4
289;Derrick Jones Jr.;PF;24;CHI;44;8;17.7;2.1;3.8;0.551;0.4;1.1;0.34;1.7;2.7;0.633;0.599;1.1;1.4;0.787;1.2;2.2;3.4;0.5;0.5;0.7;0.5;2.2;5.6
290;Herbert Jones;PF;23;NOP;66;57;30.1;3.6;7.4;0.487;0.7;2;0.346;2.9;5.4;0.539;0.534;1.8;2.1;0.853;1.3;2.6;3.9;2.2;1.5;0.8;1.3;3.2;9.7
291;Jemerrio Jones;SF;26;LAL;2;0;7.5;1;1.5;0.667;0;0;0;1;1.5;0.667;0.667;0;0;0;1;0.5;1.5;0;0.5;0;0;1;2
292;Kai Jones;C;21;CHO;19;0;3.1;0.4;0.7;0.615;0.1;0.1;0.5;0.4;0.6;0.636;0.654;0.2;0.4;0.375;0.2;0.4;0.5;0.2;0.1;0;0.3;0.4;1.1
293;Mason Jones;SG;23;LAL;2;0;4.5;1;4;0.25;0;1;0;1;3;0.333;0.25;0.5;1;0.5;0.5;0.5;1;0;0.5;0;0.5;0.5;2.5
294;Tre Jones;PG;22;SAS;57;6;15;2.1;4.3;0.49;0.1;0.5;0.103;2.1;3.8;0.541;0.496;0.8;1.1;0.774;0.4;1.6;2;2.9;0.5;0.1;0.6;1.1;5.1
295;Tyus Jones;PG;25;MEM;63;15;20.3;3.3;7.3;0.451;1;2.7;0.365;2.3;4.6;0.502;0.519;0.7;0.8;0.83;0.2;2.2;2.4;4.1;0.9;0;0.6;0.5;8.2
296;DeAndre Jordan;C;33;TOT;37;19;12.8;1.8;2.8;0.635;0;0;0;1.8;2.8;0.635;0.635;0.5;0.9;0.559;1.7;3.7;5.4;0.4;0.3;0.8;0.7;1.5;4.1
296;DeAndre Jordan;C;33;LAL;32;19;12.8;1.9;2.8;0.674;0;0;0;1.9;2.8;0.674;0.674;0.4;0.8;0.462;1.6;3.8;5.4;0.4;0.3;0.8;0.7;1.6;4.1
296;DeAndre Jordan;C;33;PHI;5;0;12.8;1.2;3;0.4;0;0;0;1.2;3;0.4;0.4;1.4;1.6;0.875;2.2;3.2;5.4;0.6;0.2;0.6;1.2;1;3.8
297;Cory Joseph;PG;30;DET;58;32;24.7;2.8;6.1;0.452;1;2.4;0.413;1.8;3.7;0.477;0.532;1.5;1.7;0.869;0.5;2.1;2.6;3.7;0.6;0.3;1.3;2.3;8
298;Georgios Kalaitzakis;SF;23;MIL;9;0;5.3;0.6;1.2;0.455;0.2;0.4;0.5;0.3;0.8;0.429;0.545;0.4;1;0.444;0.4;0.4;0.9;0;0.1;0.1;0.4;0.9;1.8
299;Frank Kaminsky;C;28;PHO;9;0;20.1;4;7.3;0.545;0.6;1.7;0.333;3.4;5.7;0.608;0.583;2;2.2;0.9;1.2;3.3;4.6;1.4;0.9;0.8;0.6;1.6;10.6
300;Luke Kennard;SG;25;LAC;61;11;27.6;4;9;0.447;2.7;6;0.455;1.3;3;0.432;0.598;0.9;1;0.889;0.3;3.1;3.4;2.1;0.6;0.1;0.9;1.5;11.7
301;Braxton Key;SF;24;PHI;2;0;3;0.5;1;0.5;0;0.5;0;0.5;0.5;1;0.5;0;0;0;0.5;0.5;1;0.5;0.5;0;1;0.5;1
302;George King;SF;28;DAL;4;0;4.8;0;1.3;0;0;1;0;0;0.3;0;0;0.3;0.5;0.5;0;1.3;1.3;0;0;0;0.3;1;0.3
303;Louis King;SF;22;SAC;10;0;10.4;1.5;4.7;0.319;0.8;2.7;0.296;0.7;2;0.35;0.404;0.7;1;0.7;0;1.2;1.2;0.9;0.2;0.1;0;1.4;4.5
304;Corey Kispert;SF;22;WAS;63;22;21.5;2.7;6.2;0.445;1.3;3.7;0.342;1.5;2.5;0.6;0.548;0.7;0.8;0.837;0.7;1.9;2.7;1;0.3;0.3;0.6;1.2;7.4
305;Maxi Kleber;PF;30;DAL;50;20;25;2.4;6.1;0.403;1.5;4.3;0.341;1;1.7;0.558;0.525;0.8;1.1;0.719;1.2;4.7;5.9;1.2;0.5;1.1;0.7;2.3;7.2
306;Brandon Knight;PG;30;DAL;3;0;18;3;6.7;0.45;1.3;4.3;0.308;1.7;2.3;0.714;0.55;2.7;2.7;1;0;2.3;2.3;2.7;0.3;0;1.3;1.7;10
307;Nathan Knight;PF;24;MIN;33;2;7.2;1;2.1;0.485;0.1;0.2;0.25;0.9;1.8;0.517;0.5;1.2;1.7;0.727;0.8;1.4;2.2;0.5;0.2;0.2;0.5;1.1;3.3
308;Kevin Knox;SF;22;TOT;24;0;7.8;0.9;2.8;0.333;0.5;1.7;0.268;0.5;1;0.44;0.417;0.5;0.7;0.688;0.5;1;1.6;0.4;0.1;0;0.3;0.5;2.8
308;Kevin Knox;SF;22;NYK;13;0;8.5;1.2;3.1;0.375;0.8;2.2;0.357;0.4;0.9;0.417;0.5;0.5;0.8;0.7;0.6;1.1;1.7;0.2;0.2;0.1;0.4;0.4;3.6
308;Kevin Knox;SF;22;ATL;11;0;6.8;0.6;2.4;0.269;0.1;1.2;0.077;0.5;1.2;0.462;0.288;0.4;0.5;0.667;0.5;1;1.5;0.5;0.1;0;0.2;0.6;1.7
309;John Konchar;SG;25;MEM;60;6;18.2;1.8;3.5;0.5;0.7;1.8;0.4;1.1;1.8;0.598;0.599;0.4;0.7;0.59;1.2;3.4;4.5;1.4;0.6;0.3;0.4;1.3;4.6
310;Furkan Korkmaz;SG;24;PHI;57;19;22.8;2.9;7.6;0.389;1.2;4.3;0.291;1.7;3.3;0.516;0.471;1.1;1.3;0.816;0.3;2.5;2.9;2.1;0.5;0.1;0.8;0.9;8.2
311;Luke Kornet;C;26;TOT;7;0;5;0.1;1.3;0.111;0;0.3;0;0.1;1;0.143;0.111;0.3;0.4;0.667;0.4;0.6;1;0.3;0.3;0.1;0;0.4;0.6
311;Luke Kornet;C;26;CLE;2;0;7.5;0.5;2.5;0.2;0;0.5;0;0.5;2;0.25;0.2;1;1.5;0.667;1;0.5;1.5;0.5;0;0.5;0;0.5;2
311;Luke Kornet;C;26;MIL;1;0;3;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0
311;Luke Kornet;C;26;BOS;4;0;4.3;0;0.8;0;0;0.3;0;0;0.5;0;0;0;0;0;0;0.8;0.8;0.3;0.5;0;0;0.3;0
312;Vit Krejci;SG;21;OKC;17;0;15.8;1.5;3.5;0.433;0.9;2.3;0.385;0.6;1.2;0.524;0.558;0.4;0.4;1;0.5;1.6;2.1;0.9;0.4;0.1;0.7;1.6;4.4
313;Arnoldas Kulboka;SF;24;CHO;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
314;Jonathan Kuminga;SF;19;GSW;58;8;16.4;3.3;6.4;0.509;0.7;2.2;0.333;2.5;4.2;0.602;0.567;1.8;2.5;0.699;0.7;2.5;3.2;0.8;0.4;0.3;1.1;2;9.1
315;Kyle Kuzma;PF;26;WAS;65;65;33.4;6.4;14.1;0.454;1.9;5.6;0.339;4.5;8.5;0.53;0.521;2.4;3.3;0.716;1.1;7.5;8.6;3.4;0.6;0.9;2.5;1.9;17.1
316;Anthony Lamb;SF;24;SAS;2;0;4;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0.5;0.5;1;0;0;0;0;0
317;Jeremy Lamb;SF-SG;29;TOT;46;0;16.5;2.3;6.2;0.372;1;3.1;0.326;1.3;3.1;0.418;0.454;1.7;2;0.84;0.4;2.2;2.6;1.4;0.6;0.4;0.6;1.1;7.3
317;Jeremy Lamb;SF;29;IND;39;0;15.7;2.2;5.8;0.373;1;3;0.333;1.2;2.8;0.414;0.458;1.7;2.1;0.838;0.4;2;2.4;1.3;0.6;0.4;0.6;1.1;7.1
317;Jeremy Lamb;SG;29;SAC;7;0;21.1;3;8.1;0.368;1.1;3.9;0.296;1.9;4.3;0.433;0.439;1.7;2;0.857;0.4;3.4;3.9;1.9;0.4;0.9;0.7;1;8.9
318;Jock Landale;C;26;SAS;44;1;10.5;2;3.8;0.524;0.5;1.6;0.324;1.5;2.2;0.674;0.593;0.6;0.7;0.833;1.1;1.2;2.3;0.9;0.2;0.3;0.6;1.1;5
319;Romeo Langford;SG;22;TOT;45;5;16.5;1.8;4.2;0.436;0.6;1.9;0.345;1.2;2.3;0.51;0.513;0.5;0.8;0.553;0.7;1.7;2.3;0.4;0.5;0.4;0.4;1;4.8
319;Romeo Langford;SG;22;BOS;44;5;16.5;1.8;4.2;0.429;0.7;1.9;0.349;1.1;2.3;0.495;0.508;0.5;0.8;0.588;0.7;1.7;2.4;0.4;0.5;0.4;0.4;1;4.7
319;Romeo Langford;SG;22;SAS;1;0;16;3;4;0.75;0;1;0;3;3;1;0.75;1;4;0.25;0;1;1;0;0;0;0;0;7
320;Zach LaVine;SF;26;CHI;56;56;34.8;8.8;18.1;0.482;2.9;7.2;0.396;5.9;10.9;0.539;0.561;4.4;5.1;0.861;0.3;4.5;4.8;4.5;0.6;0.4;2.7;1.9;24.8
321;Jake Layman;SF;27;MIN;28;1;7;0.8;2.1;0.383;0.2;1;0.172;0.6;1.1;0.581;0.425;0.3;0.4;0.75;0.2;0.9;1.1;0.3;0.2;0.2;0.3;0.4;2.1
322;Damion Lee;SG;29;GSW;54;4;19.8;2.8;6.1;0.449;1.1;3.1;0.351;1.7;3;0.549;0.538;0.9;1;0.855;0.4;2.7;3.1;0.9;0.7;0.1;0.6;1.5;7.5
323;Saben Lee;PG;22;DET;31;0;14.9;1.7;4.4;0.38;0.4;1.5;0.267;1.3;3;0.435;0.423;1.1;1.5;0.778;0.4;1.9;2.3;2.3;0.8;0.4;0.8;0.9;4.9
324;Alex Len;C;28;SAC;35;10;16.4;2.4;4.6;0.525;0.2;0.6;0.3;2.3;4.1;0.556;0.543;1.1;1.7;0.638;1.4;3;4.4;1.2;0.3;0.7;1.2;2.7;6.1
325;Caris LeVert;SG;27;TOT;45;40;30.8;6.9;15.7;0.443;1.5;4.6;0.317;5.5;11;0.495;0.489;2.6;3.4;0.76;0.7;2.9;3.6;4.4;0.9;0.4;1.8;2.2;17.9
325;Caris LeVert;SG;27;IND;39;39;31.1;7.1;15.9;0.447;1.6;4.8;0.323;5.6;11.1;0.501;0.496;2.8;3.7;0.76;0.8;3.1;3.8;4.4;0.9;0.5;1.9;2.3;18.7
325;Caris LeVert;SG;27;CLE;6;1;29;5.7;13.8;0.41;0.8;3.2;0.263;4.8;10.7;0.453;0.44;1;1.3;0.75;0.5;1.8;2.3;4.2;1;0.3;1.3;1.7;13.2
326;Kira Lewis Jr.;PG;20;NOP;24;0;14.2;2.5;6.1;0.404;0.5;2.4;0.224;1.9;3.7;0.523;0.449;0.4;0.5;0.833;0.4;1.3;1.6;2;0.5;0;1.1;0.7;5.9
327;Scottie Lewis;SG;21;CHO;2;0;3.5;0;0;0;0;0;0;0;0;0;0;0.5;1;0.5;0;0;0;0.5;0.5;0;0;0;0.5
328;Damian Lillard;PG;31;POR;29;29;36.4;7.7;19;0.402;3.2;9.8;0.324;4.5;9.2;0.485;0.486;5.5;6.2;0.878;0.4;3.7;4.1;7.3;0.6;0.4;2.9;1.3;24
329;Nassir Little;SF;21;POR;42;23;25.9;3.5;7.5;0.46;1.2;3.7;0.331;2.2;3.8;0.584;0.541;1.6;2.2;0.734;1.4;4.2;5.6;1.3;0.6;0.9;1;2;9.8
330;Isaiah Livers;SF;23;DET;10;0;15.2;1.8;3.9;0.462;1.3;2.9;0.448;0.5;1;0.5;0.628;0;0;0;1;1.3;2.3;0.8;0.5;0.3;0.5;1.5;4.9
